# 2026-02-27 12:29:41
# /mn/fys-server1/a8/sylju/Kagome/Results/kagbias_2a_MERGED/0
# /mn/fys-server1/a8/sylju/Sources/SpinS/Utils/getlines.py -p rinputs.in
#
6 -0.00014897896263618696
9 -0.00012772446289618908
12 -0.00011919516165213796
18 -0.00011206164675128604
24 -0.00010917586753839854
30 -0.00010766794682525962
36 -0.00010686146558026699
48 -0.00010586318908622182
60 -0.00010540982522920834
90 -0.00010490430042430574
120 -0.00010474243540458654
180 -0.00010457369241121557
240 -0.00010454606700798976
300 -0.00010452650024276984
